county_ansi,sector_desc,end_code,state_fips_code,domain_desc,unit_desc,freq_desc,group_desc,country_name,domaincat_desc,short_desc,county_code,class_desc,asd_desc,location_desc,reference_period_desc,agg_level_desc,prodn_practice_desc,source_desc,state_alpha,load_time,week_ending,zip_5,watershed_code,asd_code,congr_district_code,country_code,year,state_name,Value,watershed_desc,statisticcat_desc,state_ansi,county_name,commodity_desc,util_practice_desc,begin_code,region_desc,CV_pct,var_name,description
045,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",045,CONTRACT,NORTHERN,"NEW YORK, NORTHERN, JEFFERSON",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,20,,9000,2017,NEW YORK,114000.0,,EXPENSE,36,JEFFERSON,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
049,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",049,CONTRACT,NORTHERN,"NEW YORK, NORTHERN, LEWIS",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,20,,9000,2017,NEW YORK,794000.0,,EXPENSE,36,LEWIS,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
089,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",089,CONTRACT,NORTHERN,"NEW YORK, NORTHERN, ST LAWRENCE",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,20,,9000,2017,NEW YORK,433000.0,,EXPENSE,36,ST LAWRENCE,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
019,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",019,CONTRACT,NORTHEAST,"NEW YORK, NORTHEAST, CLINTON",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,30,,9000,2017,NEW YORK,4567000.0,,EXPENSE,36,CLINTON,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
031,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",031,CONTRACT,NORTHEAST,"NEW YORK, NORTHEAST, ESSEX",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,30,,9000,2017,NEW YORK,213000.0,,EXPENSE,36,ESSEX,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
033,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",033,CONTRACT,NORTHEAST,"NEW YORK, NORTHEAST, FRANKLIN",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,30,,9000,2017,NEW YORK,2637000.0,,EXPENSE,36,FRANKLIN,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
029,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",029,CONTRACT,WESTERN,"NEW YORK, WESTERN, ERIE",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,40,,9000,2017,NEW YORK,1487000.0,,EXPENSE,36,ERIE,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
037,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",037,CONTRACT,WESTERN,"NEW YORK, WESTERN, GENESEE",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,40,,9000,2017,NEW YORK,501000.0,,EXPENSE,36,GENESEE,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
051,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",051,CONTRACT,WESTERN,"NEW YORK, WESTERN, LIVINGSTON",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,40,,9000,2017,NEW YORK,308000.0,,EXPENSE,36,LIVINGSTON,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
055,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",055,CONTRACT,WESTERN,"NEW YORK, WESTERN, MONROE",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,40,,9000,2017,NEW YORK,266000.0,,EXPENSE,36,MONROE,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
063,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",063,CONTRACT,WESTERN,"NEW YORK, WESTERN, NIAGARA",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,40,,9000,2017,NEW YORK,1403000.0,,EXPENSE,36,NIAGARA,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
069,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",069,CONTRACT,WESTERN,"NEW YORK, WESTERN, ONTARIO",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,40,,9000,2017,NEW YORK,801000.0,,EXPENSE,36,ONTARIO,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
073,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",073,CONTRACT,WESTERN,"NEW YORK, WESTERN, ORLEANS",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,40,,9000,2017,NEW YORK,5573000.0,,EXPENSE,36,ORLEANS,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
099,ECONOMICS,00,36,TOTAL,$,ANNUAL,EXPENSES,UNITED STATES,NOT SPECIFIED,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",099,CONTRACT,WESTERN,"NEW YORK, WESTERN, SENECA",YEAR,COUNTY,ALL PRODUCTION PRACTICES,CENSUS,NY,2018-02-01 00:00:00.000,,,00000000,40,,9000,2017,NEW YORK,1179000.0,,EXPENSE,36,SENECA,LABOR,ALL UTILIZATION PRACTICES,00,,21.0,total_contract_labor_expenses,Total expenses for contract labor ($)
