county_code,total_labor_expenses,pct_low_employment_farms,pct_mid_employment_farms,pct_high_employment_farms,avg_rent_burden,pct_cropland,pct_harvested_full_owners,pct_harvested_part_owners,pct_harvested_tenants,pct_farmland,pct_owned_part_owners,pct_rented_part_owners,pct_operated_full_owners,pct_operated_part_owners,pct_operated_tenants,avg_farm_value,avg_income_per_farm,avg_net_income_per_farm,avg_net_income_per_producer,pct_farmers_early_career,pct_farmers_mid_career,pct_farmers_late_career,pct_full_time_farmers,pct_producers_housed_on_farm,pct_producers_housed_off_farm
001,3515000.0,0.017144155591211352,-0.06688400218881294,0.049739846597601556,7574.074074074074,-0.010596249270995617,-0.20718112060228752,0.1192432630075777,-0.015375705805704357,0.0,-0.008272514808638325,0.0062402496099844,-0.023920956838273534,-0.002032265198653918,-0.002178707837968691,245069.47121646255,29737.81583745766,-10189.001041938007,-6552.57790830478,0.023075309418921774,0.07409155536908842,-0.11214250751695687,-0.016234295969978774,0.06761182201710836,-0.08258746474605505
003,1766000.0,0.01924128503075867,0.08672248803827753,-0.1059637730690362,5272.435897435897,-0.04314430258683717,0.04329316167856398,-0.04425085045772381,0.0014264177669908278,0.0,-0.029806361119207224,-0.02973653210920043,-0.007983277470125325,-0.05954289322840765,-0.0008258039444282524,148110.86680994107,13291.949082492982,14963.277676750975,8490.105191664376,-0.020511843937594865,0.09267856111103905,-0.07402505214775645,-0.08042133264785611,-0.03736184824147981,0.03550351326716747
005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.4
007,1305000.0,-0.108572992678026,0.00992852210589179,0.09864447057213421,3139.3188854489163,0.008710973207448777,-0.0032295183483248557,-0.02749671686022781,-0.0009134500967881987,0.0,0.00022581059361619776,0.0024086463319061523,0.015986061730417583,0.0026344569255223535,-0.0008611796168304162,133072.58005152742,58028.37688627162,36382.600294442396,18514.27314438467,0.004168074800045066,0.008730426946040315,-0.021476698056623778,0.022228717396003628,-0.03913392946850203,0.030555733157963644
009,2345000.0,-0.20061299063711038,0.23986821339390924,-0.039255222756798824,12450.355464513797,-0.004731132331460053,-0.02071564404715895,0.12169614819279961,-0.006212088821630955,0.0,0.004932226667462819,-0.00720128978324476,0.0008132799904460586,-0.0022690631157819274,-0.00247686152743775,179445.27518120222,76083.42081602516,36081.66027917444,18783.46419887523,-0.007156416277936423,0.045537053659921556,-0.05681419805290078,-0.02349520496305152,-0.08202936662578109,0.06359580595486544
011,18768000.0,-0.08409507533280092,-0.04202684752607992,0.1261219228588809,21099.271477663227,-0.0039040823106187283,-0.020694770900148388,0.05002646372371766,-0.007694236501910645,0.0,0.01431950710891905,0.003806937437445368,-0.02022308427452424,0.018126444546364417,-0.003416076798467286,241055.2964033489,276508.0003306973,101265.69778718994,52721.22891248958,-0.0024883837106493556,0.005576654968511133,-0.009488465228469356,0.025294561507285374,-0.05077097045919621,0.04437077648858856
013,23058000.0,-0.043328464966483154,0.06442347301801299,-0.021095008051529862,8218.724137931034,0.0029248834802929335,0.00686715683443509,-0.01827415895631601,0.027345527094293692,0.0,-0.009576401200808202,-0.004237019614084889,0.015578968466257864,-0.01381342081489309,0.00744683829912032,148009.46164501418,56387.23548394421,-779.2743296739936,-2740.414347557202,8.647526807332995e-05,0.03130404704254583,-0.02637233629969704,-0.015240610882257366,-0.061979183044558295,0.06699736905548043
015,365000.0,0.0,0.0,0.0,6058.479532163743,-0.007207735975010038,0.0,0.07418211149993248,0.0,0.0,-0.005910872783902163,-0.0034022999087094247,0.0,-0.009313172692611602,0.0,166805.01941525814,50108.99668798538,15449.263362265876,8461.106041076688,0.0009126061963138227,0.0367512160242358,-0.010175088673334054,0.10593758526282115,0.010191553218112825,0.017297180329102727
017,4764000.0,-0.14805341482859424,0.03447024673439769,0.11358316809419655,7803.857469761359,0.008217895027701011,-0.03869886345186446,0.05479761585849552,-0.04986710861488859,0.0,0.011808090981577077,0.0022031977842125114,-0.0029603284513268213,0.014011288765789581,-0.0073387469050316834,162928.26259106747,99277.64095660436,46062.610864745,24134.918015332194,0.027062925894378184,-0.015124574105621805,-0.02449824318568994,-0.023638468909710386,-0.03761579003407156,0.025055898637138002
019,32396000.0,-0.012462587213085227,0.06350914423567804,-0.05104655702259275,13376.07135391262,-0.012935181706380083,-0.014465618240893152,0.14745710818989954,0.001258796508862214,0.0,-0.017659821459491118,-0.0019227207778813316,0.005566404632597721,-0.019582542237372436,-0.0032236062532842087,243252.30987917562,322478.5130470098,93553.88871966695,50698.3859974134,-0.00195524135761474,0.0016843475829284305,-0.003993498549407448,0.005026827222202823,-0.0043976545842217,0.00013326226012794207
