state_ansi,statisticcat_desc,county_name,util_practice_desc,commodity_desc,region_desc,begin_code,year,state_name,Value,congr_district_code,country_code,watershed_desc,zip_5,watershed_code,asd_code,reference_period_desc,state_alpha,source_desc,prodn_practice_desc,agg_level_desc,week_ending,load_time,class_desc,asd_desc,location_desc,domaincat_desc,country_name,short_desc,county_code,unit_desc,group_desc,freq_desc,county_ansi,sector_desc,end_code,domain_desc,state_fips_code,CV_pct,var_name,description
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,6,,9000,,10509,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10509,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,5,,9000,,10512,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10512,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,3,,9000,,10516,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10516,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,3,,9000,,10524,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10524,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,6,,9000,,10541,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10541,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,7,,9000,,10579,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10579,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,7,,9000,,10918,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10918,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,2,,9000,,10919,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10919,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,2,,9000,,10921,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10921,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,17,,9000,,10924,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10924,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,1,,9000,,10933,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10933,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,20,,9000,,10940,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10940,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,2,,9000,,10950,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10950,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
36,AREA,,ALL UTILIZATION PRACTICES,AG LAND,,00,2022,NEW YORK,1,,9000,,10953,00000000,,YEAR,NY,CENSUS,ALL PRODUCTION PRACTICES,ZIP CODE,,2024-11-07 12:00:00.000,"CROPLAND, HARVESTED",,10953,AREA HARVESTED: (1.0 TO 49.9 ACRES),UNITED STATES,"AG LAND, CROPLAND, HARVESTED - NUMBER OF OPERATIONS",,OPERATIONS,FARMS & LAND & ASSETS,ANNUAL,,ECONOMICS,00,AREA HARVESTED,36,,number_small_farms,Number small farms (1.0 to 49.9 acres harvested cropland)
