bg2010gj,bg2010ge,bg2020gj,bg2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G36004700430002,360470430002,G36004700430002,360470430002,1,1,1,1,1,1,1,1
G36004700430003,360470430003,G36004700430003,360470430003,1,1,1,1,1,1,1,1
G36004700431001,360470431001,G36004700431001,360470431001,1,1,1,1,1,1,1,1
G36004700431002,360470431002,G36004700431002,360470431002,1,1,1,1,1,1,1,1
G36004700431003,360470431003,G36004700431003,360470431003,1,1,1,1,1,1,1,1
G36004700431004,360470431004,G36004700431004,360470431004,1,1,1,1,1,1,1,1
G36004700432001,360470432001,G36004700432001,360470432001,1,1,1,1,1,1,1,1
G36004700432002,360470432002,G36004700432002,360470432002,1,1,1,1,1,1,1,1
G36004700432003,360470432003,G36004700432003,360470432003,1,1,1,1,1,1,1,1
G36004700433001,360470433001,G36004700433001,360470433001,1,1,1,1,1,1,1,1
G36004700433002,360470433002,G36004700433002,360470433002,1,1,1,1,1,1,1,1
G36004700433003,360470433003,G36004700433003,360470433003,1,1,1,1,1,1,1,1
G36004700434001,360470434001,G36004700434001,360470434001,1,1,1,1,1,1,1,1
G36004700434002,360470434002,G36004700434002,360470434002,0.9882714694,1,1,1,1,1,1,1
G36004700434002,360470434002,G36004700434003,360470434003,0.0117285306,0,0,0,0,0,0,0
G36004700434003,360470434003,G36004700434003,360470434003,1,1,1,1,1,1,1,1
G36004700435001,360470435001,G36004700435001,360470435001,1,1,1,1,1,1,1,1
G36004700435002,360470435002,G36004700435002,360470435002,1,1,1,1,1,1,1,1
G36004700435003,360470435003,G36004700435003,360470435003,1,1,1,1,1,1,1,1
G36004700436001,360470436001,G36004700436001,360470436001,1,1,1,1,1,1,1,1
G36004700436002,360470436002,G36004700436002,360470436002,1,1,1,1,1,1,1,1
G36004700436003,360470436003,G36004700436003,360470436003,1,1,1,1,1,1,1,1
G36004700437001,360470437001,G36004700437001,360470437001,1,1,1,1,1,1,1,1
G36004700437002,360470437002,G36004700437002,360470437002,1,1,1,1,1,1,1,1
G36004700437003,360470437003,G36004700437003,360470437003,1,1,1,1,1,1,1,1
G36004700437004,360470437004,G36004700437004,360470437004,1,1,1,1,1,1,1,1
G36004700438001,360470438001,G36004700438001,360470438001,1,1,1,1,1,1,1,1
G36004700438002,360470438002,G36004700438002,360470438002,1,1,1,1,1,1,1,1
G36004700439001,360470439001,G36004700439001,360470439001,1,1,1,1,1,1,1,1
G36004700439002,360470439002,G36004700439002,360470439002,1,1,1,1,1,1,1,1
G36004700439003,360470439003,G36004700439003,360470439003,1,1,1,1,1,1,1,1
G36004700440001,360470440001,G36004700440001,360470440001,1,1,1,1,1,1,1,1
G36004700440002,360470440002,G36004700440002,360470440002,1,1,1,1,1,1,1,1
G36004700440003,360470440003,G36004700440003,360470440003,1,1,1,1,1,1,1,1
G36004700441001,360470441001,G36004700441001,360470441001,1,1,1,1,1,1,1,1
G36004700441002,360470441002,G36004700441002,360470441002,1,1,1,1,1,1,1,1
G36004700441003,360470441003,G36004700441003,360470441003,1,1,1,1,1,1,1,1
G36004700442001,360470442001,G36004700442001,360470442001,1,1,1,1,1,1,1,1
G36004700442002,360470442002,G36004700442002,360470442002,1,1,1,1,1,1,1,1
G36004700443001,360470443001,G36004700443001,360470443001,1,1,1,1,1,1,1,1
G36004700443002,360470443002,G36004700443002,360470443002,1,1,1,1,1,1,1,1
G36004700443003,360470443003,G36004700443003,360470443003,1,1,1,1,1,1,1,1
G36004700443004,360470443004,G36004700443004,360470443004,1,1,1,1,1,1,1,1
G36004700444001,360470444001,G36004700444001,360470444001,1,1,1,1,1,1,1,1
G36004700444002,360470444002,G36004700444002,360470444002,1,1,1,1,1,1,1,1
G36004700444003,360470444003,G36004700444003,360470444003,1,1,1,1,1,1,1,1
G36004700445001,360470445001,G36004700445001,360470445001,1,1,1,1,1,1,1,1
G36004700445002,360470445002,G36004700445002,360470445002,1,1,1,1,1,1,1,1
G36004700445003,360470445003,G36004700445003,360470445003,1,1,1,1,1,1,1,1
G36004700446001,360470446001,G36004700446002,360470446002,1,1,1,1,1,1,1,1
G36004700446002,360470446002,G36004700446001,360470446001,0.5400109793,0.7306079665,0.7220812183,0.7336065574,0.7220630372,0.7257281553,0.6744186047,0.75
G36004700446002,360470446002,G36004700446002,360470446002,0.4599890207,0.2693920335,0.2779187817,0.2663934426,0.2779369628,0.2742718447,0.3255813953,0.25
G36004700447001,360470447001,G36004700447001,360470447001,1,1,1,1,1,1,1,1
G36004700447002,360470447002,G36004700447002,360470447002,1,1,1,1,1,1,1,1
G36004700448001,360470448001,G36004700446002,360470446002,0.0022706839,0,0,0,0,0,0,0
G36004700448001,360470448001,G36004700448001,360470448001,0.9977293161,1,1,1,1,1,1,1
G36004700448002,360470448002,G36004700448002,360470448002,1,1,1,1,1,1,1,1
G36004700449001,360470449001,G36004700449011,360470449011,1,1,1,1,1,1,1,1
G36004700449002,360470449002,G36004700449011,360470449011,1,1,1,1,1,1,1,1
G36004700449003,360470449003,G36004700449012,360470449012,1,1,1,1,1,1,1,1
G36004700449004,360470449004,G36004700449013,360470449013,0.0270050883,0.1764705882,0.1764705882,0.25,0.2,0.3636363636,0.25,0.2
G36004700449004,360470449004,G36004700449014,360470449014,0.0370196771,0.7647058824,0.7647058824,0.5714285714,0.6,0.2727272727,0.5714285714,0.6
G36004700449004,360470449004,G36004700449021,360470449021,0.1318040694,0,0,0,0,0,0,0
G36004700449004,360470449004,G36004700449022,360470449022,0.4636538389,0,0,0.0357142857,0,0.0909090909,0.0357142857,0
G36004700449004,360470449004,G36004700449023,360470449023,0.3402217143,0.0588235294,0.0588235294,0.1428571429,0.2,0.2727272727,0.1428571429,0.2
G36004700449004,360470449004,G36004700485001,360470485001,0.000295612,0,0,0,0,0,0,0
G36004700450001,360470450001,G36004700450001,360470450001,1,1,1,1,1,1,1,1
G36004700452001,360470452001,G36004700452001,360470452001,1,1,1,1,1,1,1,1
G36004700452002,360470452002,G36004700452002,360470452002,1,1,1,1,1,1,1,1
G36004700453001,360470453001,G36004700453001,360470453001,1,1,1,1,1,1,1,1
G36004700453002,360470453002,G36004700453002,360470453002,1,1,1,1,1,1,1,1
G36004700454001,360470454001,G36004700454001,360470454001,1,1,1,1,1,1,1,1
G36004700454002,360470454002,G36004700454002,360470454002,1,1,1,1,1,1,1,1
G36004700456001,360470456001,G36004700456001,360470456001,1,1,1,1,1,1,1,1
G36004700456002,360470456002,G36004700456002,360470456002,1,1,1,1,1,1,1,1
G36004700458001,360470458001,G36004700458001,360470458001,1,1,1,1,1,1,1,1
G36004700458002,360470458002,G36004700458002,360470458002,1,1,1,1,1,1,1,1
G36004700460001,360470460001,G36004700460001,360470460001,1,1,1,1,1,1,1,1
G36004700460002,360470460002,G36004700460002,360470460002,1,1,1,1,1,1,1,1
G36004700460003,360470460003,G36004700460003,360470460003,1,1,1,1,1,1,1,1
G36004700462011,360470462011,G36004700462011,360470462011,0.7524358754,0.889456869,0.8775510204,0.870523416,0.8850574713,0.875192604,0.964,0.8300835655
G36004700462011,360470462011,G36004700462012,360470462012,0.2475641246,0.110543131,0.1224489796,0.129476584,0.1149425287,0.124807396,0.036,0.1699164345
G36004700462012,360470462012,G36004700462011,360470462011,0.1598148807,0.1433926898,0.1188630491,0.154185022,0.0877192982,0.0826612903,0.0245901639,0.1107784431
G36004700462012,360470462012,G36004700462012,360470462012,0.8401851193,0.8566073102,0.8811369509,0.845814978,0.9122807018,0.9173387097,0.9754098361,0.8892215569
G36004700462021,360470462021,G36004700462021,360470462021,1,1,1,1,1,1,1,1
G36004700462022,360470462022,G36004700462022,360470462022,1,1,1,1,1,1,1,1
G36004700464001,360470464001,G36004700464001,360470464001,1,1,1,1,1,1,1,1
G36004700464002,360470464002,G36004700464002,360470464002,1,1,1,1,1,1,1,1
G36004700468001,360470468001,G36004700468001,360470468001,1,1,1,1,1,1,1,1
G36004700470001,360470470001,G36004700470001,360470470001,1,1,1,1,1,1,1,1
G36004700470002,360470470002,G36004700470002,360470470002,1,1,1,1,1,1,1,1
G36004700472001,360470472001,G36004700472001,360470472001,1,1,1,1,1,1,1,1
G36004700472002,360470472002,G36004700472002,360470472002,1,1,1,1,1,1,1,1
G36004700472003,360470472003,G36004700472003,360470472003,1,1,1,1,1,1,1,1
G36004700474001,360470474001,G36004700474001,360470474001,1,1,1,1,1,1,1,1
G36004700474002,360470474002,G36004700474002,360470474002,1,1,1,1,1,1,1,1
G36004700476001,360470476001,G36004700476001,360470476001,1,1,1,1,1,1,1,1
G36004700476002,360470476002,G36004700476002,360470476002,1,1,1,1,1,1,1,1
G36004700476003,360470476003,G36004700476003,360470476003,1,1,1,1,1,1,1,1
G36004700477001,360470477001,G36004700477001,360470477001,0.9977100504,1,1,1,1,1,1,1
G36004700477001,360470477001,G36004700477002,360470477002,0.0022899496,0,0,0,0,0,0,0
G36004700477002,360470477002,G36004700477002,360470477002,1,1,1,1,1,1,1,1
G36004700478001,360470478001,G36004700478001,360470478001,1,1,1,1,1,1,1,1
G36004700478002,360470478002,G36004700478002,360470478002,0.9932405567,1,1,1,1,1,1,1
G36004700478002,360470478002,G36004700478003,360470478003,0.0067594433,0,0,0,0,0,0,0
G36004700478003,360470478003,G36004700478003,360470478003,1,1,1,1,1,1,1,1
G36004700480001,360470480001,G36004700480001,360470480001,1,1,1,1,1,1,1,1
G36004700480002,360470480002,G36004700480002,360470480002,1,1,1,1,1,1,1,1
G36004700481001,360470481001,G36004700481001,360470481001,1,1,1,1,1,1,1,1
G36004700481002,360470481002,G36004700481002,360470481002,1,1,1,1,1,1,1,1
G36004700481003,360470481003,G36004700481003,360470481003,1,1,1,1,1,1,1,1
G36004700482001,360470482001,G36004700482004,360470482004,0.303315182,0.4834645669,0.5343035343,0.5306122449,0.6065217391,0.5987903226,0.5080645161,0.6428571429
G36004700482001,360470482001,G36004700482005,360470482005,0.696684818,0.5165354331,0.4656964657,0.4693877551,0.3934782609,0.4012096774,0.4919354839,0.3571428571
G36004700482002,360470482002,G36004700482001,360470482001,1,1,1,1,1,1,1,1
G36004700482003,360470482003,G36004700482002,360470482002,1,1,1,1,1,1,1,1
G36004700482004,360470482004,G36004700482003,360470482003,1,1,1,1,1,1,1,1
G36004700484001,360470484001,G36004700484001,360470484001,1,1,1,1,1,1,1,1
G36004700484002,360470484002,G36004700484002,360470484002,0.6754221686,0.6002393776,0.5562671546,0.5604719764,0.5283842795,0.5284210526,0.8804347826,0.4398907104
G36004700484002,360470484002,G36004700484003,360470484003,0.3245778314,0.3997606224,0.4437328454,0.4395280236,0.4716157205,0.4715789474,0.1195652174,0.5601092896
G36004700484003,360470484003,G36004700484002,360470484002,0.4123117631,0.4534161491,0.4497716895,0.4563758389,0.4206349206,0.4353233831,0.4393939394,0.4166666667
G36004700484003,360470484003,G36004700484003,360470484003,0.5876882369,0.5465838509,0.5502283105,0.5436241611,0.5793650794,0.5646766169,0.5606060606,0.5833333333
G36004700485001,360470485001,G36004700485001,360470485001,1,1,1,1,1,1,1,1
G36004700485002,360470485002,G36004700485002,360470485002,1,1,1,1,1,1,1,1
G36004700486001,360470486001,G36004700486001,360470486001,1,1,1,1,1,1,1,1
G36004700486002,360470486002,G36004700486002,360470486002,1,1,1,1,1,1,1,1
G36004700486003,360470486003,G36004700486003,360470486003,1,1,1,1,1,1,1,1
G36004700488001,360470488001,G36004700488001,360470488001,1,1,1,1,1,1,1,1
G36004700488002,360470488002,G36004700488002,360470488002,1,1,1,1,1,1,1,1
G36004700488003,360470488003,G36004700488003,360470488003,1,1,1,1,1,1,1,1
G36004700489001,360470489001,G36004700489001,360470489001,1,1,1,1,1,1,1,1
G36004700489002,360470489002,G36004700489002,360470489002,1,1,1,1,1,1,1,1
G36004700489003,360470489003,G36004700489003,360470489003,1,1,1,1,1,1,1,1
G36004700490001,360470490001,G36004700490001,360470490001,1,1,1,1,1,1,1,1
G36004700490002,360470490002,G36004700490002,360470490002,1,1,1,1,1,1,1,1
G36004700490003,360470490003,G36004700490003,360470490003,1,1,1,1,1,1,1,1
G36004700491001,360470491001,G36004700491001,360470491001,1,1,1,1,1,1,1,1
G36004700491002,360470491002,G36004700491002,360470491002,1,1,1,1,1,1,1,1
G36004700491003,360470491003,G36004700491003,360470491003,1,1,1,1,1,1,1,1
G36004700491004,360470491004,G36004700491004,360470491004,1,1,1,1,1,1,1,1
G36004700492001,360470492001,G36004700492001,360470492001,1,1,1,1,1,1,1,1
G36004700492002,360470492002,G36004700492002,360470492002,1,1,1,1,1,1,1,1
G36004700492003,360470492003,G36004700492003,360470492003,1,1,1,1,1,1,1,1
G36004700493001,360470493001,G36004700493011,360470493011,1,1,1,1,1,1,1,1
G36004700493002,360470493002,G36004700493021,360470493021,1,1,1,1,1,1,1,1
G36004700493003,360470493003,G36004700493022,360470493022,1,1,1,1,1,1,1,1
G36004700493004,360470493004,G36004700493023,360470493023,1,1,1,1,1,1,1,1
G36004700493005,360470493005,G36004700493024,360470493024,1,1,1,1,1,1,1,1
G36004700494001,360470494001,G36004700494001,360470494001,1,1,1,1,1,1,1,1
G36004700494002,360470494002,G36004700494002,360470494002,1,1,1,1,1,1,1,1
G36004700494003,360470494003,G36004700494003,360470494003,1,1,1,1,1,1,1,1
G36004700494004,360470494004,G36004700494004,360470494004,1,1,1,1,1,1,1,1
G36004700495001,360470495001,G36004700495001,360470495001,1,1,1,1,1,1,1,1
G36004700495002,360470495002,G36004700495002,360470495002,1,1,1,1,1,1,1,1
G36004700495003,360470495003,G36004700495003,360470495003,1,1,1,1,1,1,1,1
G36004700496001,360470496001,G36004700496001,360470496001,1,1,1,1,1,1,1,1
G36004700496002,360470496002,G36004700496002,360470496002,1,1,1,1,1,1,1,1
G36004700496003,360470496003,G36004700496003,360470496003,1,1,1,1,1,1,1,1
G36004700497001,360470497001,G36004700497001,360470497001,1,1,1,1,1,1,1,1
G36004700497002,360470497002,G36004700497002,360470497002,1,1,1,1,1,1,1,1
G36004700497003,360470497003,G36004700497003,360470497003,1,1,1,1,1,1,1,1
G36004700498001,360470498001,G36004700498001,360470498001,1,1,1,1,1,1,1,1
G36004700498002,360470498002,G36004700498002,360470498002,1,1,1,1,1,1,1,1
G36004700498003,360470498003,G36004700498003,360470498003,1,1,1,1,1,1,1,1
G36004700499001,360470499001,G36004700499001,360470499001,1,1,1,1,1,1,1,1
G36004700499002,360470499002,G36004700499002,360470499002,1,1,1,1,1,1,1,1
G36004700500001,360470500001,G36004700500011,360470500011,1,1,1,1,1,1,1,1
G36004700500002,360470500002,G36004700500012,360470500012,0.9461594636,1,1,1,1,1,1,1
G36004700500002,360470500002,G36004701502001,360471502001,0.0538405364,0,0,0,0,0,0,0
G36004700500003,360470500003,G36004700500021,360470500021,1,1,1,1,1,1,1,1
G36004700501001,360470501001,G36004700501001,360470501001,1,1,1,1,1,1,1,1
G36004700501002,360470501002,G36004700501002,360470501002,1,1,1,1,1,1,1,1
G36004700501003,360470501003,G36004700501003,360470501003,1,1,1,1,1,1,1,1
G36004700502021,360470502021,G36004700502021,360470502021,1,1,1,1,1,1,1,1
G36004700502022,360470502022,G36004700502022,360470502022,1,1,1,1,1,1,1,1
G36004700503001,360470503001,G36004700503001,360470503001,1,1,1,1,1,1,1,1
G36004700503002,360470503002,G36004700503002,360470503002,1,1,1,1,1,1,1,1
G36004700503003,360470503003,G36004700503003,360470503003,1,1,1,1,1,1,1,1
G36004700504001,360470504001,G36004700502022,360470502022,0.0562564215,0,0,0,0,0,0,0
G36004700504001,360470504001,G36004700504011,360470504011,0.9437435785,1,1,1,1,1,1,1
G36004700504002,360470504002,G36004700500012,360470500012,0.0459338561,0,0,0,0,0,0,0
G36004700504002,360470504002,G36004700504012,360470504012,0.9540661439,1,1,1,1,1,1,1
G36004700504003,360470504003,G36004700504021,360470504021,0.4790310532,0.5688298918,0.5771084337,0.5681818182,0.6227758007,0.6174496644,0.7598684211,0.5454545455
G36004700504003,360470504003,G36004700504022,360470504022,0.5209689468,0.4311701082,0.4228915663,0.4318181818,0.3772241993,0.3825503356,0.2401315789,0.4545454545
G36004700505001,360470505001,G36004700505001,360470505001,1,1,1,1,1,1,1,1
G36004700505002,360470505002,G36004700505002,360470505002,1,1,1,1,1,1,1,1
G36004700505003,360470505003,G36004700505003,360470505003,1,1,1,1,1,1,1,1
G36004700506001,360470506001,G36004700506001,360470506001,1,1,1,1,1,1,1,1
G36004700506002,360470506002,G36004700506002,360470506002,1,1,1,1,1,1,1,1
G36004700506003,360470506003,G36004700506003,360470506003,1,1,1,1,1,1,1,1
G36004700506004,360470506004,G36004700506004,360470506004,1,1,1,1,1,1,1,1
G36004700507001,360470507001,G36004700507001,360470507001,1,1,1,1,1,1,1,1
G36004700508011,360470508011,G36004700508011,360470508011,1,1,1,1,1,1,1,1
G36004700508012,360470508012,G36004700508012,360470508012,1,1,1,1,1,1,1,1
G36004700508031,360470508031,G36004700508031,360470508031,1,1,1,1,1,1,1,1
G36004700508041,360470508041,G36004700508041,360470508041,0.9778191226,1,1,1,1,1,1,1
G36004700508041,360470508041,G36004700508042,360470508042,0.0221808774,0,0,0,0,0,0,0
G36004700508042,360470508042,G36004700508042,360470508042,1,1,1,1,1,1,1,1
G36004700508043,360470508043,G36004700508043,360470508043,1,1,1,1,1,1,1,1
G36004700509001,360470509001,G36004700509001,360470509001,1,1,1,1,1,1,1,1
G36004700509002,360470509002,G36004700509002,360470509002,1,1,1,1,1,1,1,1
G36004700510011,360470510011,G36004700510011,360470510011,1,1,1,1,1,1,1,1
G36004700510012,360470510012,G36004700510012,360470510012,1,1,1,1,1,1,1,1
G36004700510021,360470510021,G36004700510021,360470510021,1,1,1,1,1,1,1,1
G36004700510022,360470510022,G36004700510022,360470510022,1,1,1,1,1,1,1,1
G36004700510023,360470510023,G36004700510023,360470510023,1,1,1,1,1,1,1,1
G36004700511001,360470511001,G36004700511001,360470511001,1,1,1,1,1,1,1,1
G36004700511002,360470511002,G36004700511002,360470511002,1,1,1,1,1,1,1,1
G36004700511003,360470511003,G36004700511003,360470511003,1,1,1,1,1,1,1,1
G36004700512001,360470512001,G36004700512001,360470512001,1,1,1,1,1,1,1,1
G36004700512002,360470512002,G36004700512002,360470512002,1,1,1,1,1,1,1,1
G36004700512003,360470512003,G36004700512003,360470512003,1,1,1,1,1,1,1,1
G36004700512004,360470512004,G36004700512004,360470512004,1,1,1,1,1,1,1,1
G36004700513001,360470513001,G36004700513001,360470513001,1,1,1,1,1,1,1,1
G36004700513002,360470513002,G36004700513002,360470513002,1,1,1,1,1,1,1,1
G36004700513003,360470513003,G36004700513003,360470513003,1,1,1,1,1,1,1,1
G36004700513004,360470513004,G36004700513004,360470513004,1,1,1,1,1,1,1,1
G36004700514001,360470514001,G36004700514001,360470514001,1,1,1,1,1,1,1,1
G36004700514002,360470514002,G36004700514002,360470514002,1,1,1,1,1,1,1,1
G36004700514003,360470514003,G36004700514003,360470514003,1,1,1,1,1,1,1,1
G36004700514004,360470514004,G36004700514004,360470514004,1,1,1,1,1,1,1,1
G36004700515001,360470515001,G36004700515001,360470515001,1,1,1,1,1,1,1,1
G36004700516011,360470516011,G36004700516011,360470516011,1,1,1,1,1,1,1,1
G36004700516012,360470516012,G36004700516012,360470516012,1,1,1,1,1,1,1,1
G36004700516013,360470516013,G36004700516013,360470516013,1,1,1,1,1,1,1,1
G36004700516021,360470516021,G36004700516021,360470516021,1,1,1,1,1,1,1,1
G36004700516022,360470516022,G36004700516022,360470516022,1,1,1,1,1,1,1,1
G36004700517001,360470517001,G36004700517001,360470517001,1,1,1,1,1,1,1,1
G36004700517002,360470517002,G36004700517002,360470517002,1,1,1,1,1,1,1,1
G36004700518001,360470518001,G36004700518001,360470518001,1,1,1,1,1,1,1,1
G36004700518002,360470518002,G36004700518002,360470518002,1,1,1,1,1,1,1,1
G36004700518003,360470518003,G36004700518003,360470518003,1,1,1,1,1,1,1,1
G36004700519001,360470519001,G36004700519001,360470519001,1,1,1,1,1,1,1,1
G36004700519002,360470519002,G36004700519002,360470519002,1,1,1,1,1,1,1,1
G36004700519003,360470519003,G36004700519003,360470519003,1,1,1,1,1,1,1,1
G36004700520001,360470520001,G36004700520001,360470520001,1,1,1,1,1,1,1,1
G36004700520002,360470520002,G36004700520002,360470520002,1,1,1,1,1,1,1,1
G36004700520003,360470520003,G36004700520003,360470520003,1,1,1,1,1,1,1,1
G36004700523001,360470523001,G36004700523001,360470523001,1,1,1,1,1,1,1,1
G36004700523002,360470523002,G36004700523002,360470523002,1,1,1,1,1,1,1,1
G36004700523003,360470523003,G36004700523003,360470523003,1,1,1,1,1,1,1,1
G36004700523004,360470523004,G36004700523004,360470523004,1,1,1,1,1,1,1,1
G36004700523005,360470523005,G36004700523005,360470523005,1,1,1,1,1,1,1,1
G36004700525001,360470525001,G36004700525001,360470525001,1,1,1,1,1,1,1,1
G36004700525002,360470525002,G36004700525002,360470525002,1,1,1,1,1,1,1,1
G36004700526001,360470526001,G36004700526001,360470526001,1,1,1,1,1,1,1,1
G36004700526002,360470526002,G36004700526002,360470526002,1,1,1,1,1,1,1,1
G36004700526003,360470526003,G36004700526003,360470526003,1,1,1,1,1,1,1,1
G36004700527001,360470527001,G36004700527001,360470527001,1,1,1,1,1,1,1,1
G36004700527002,360470527002,G36004700527002,360470527002,1,1,1,1,1,1,1,1
G36004700527003,360470527003,G36004700527003,360470527003,1,1,1,1,1,1,1,1
G36004700527004,360470527004,G36004700527004,360470527004,1,1,1,1,1,1,1,1
G36004700527005,360470527005,G36004700527005,360470527005,1,1,1,1,1,1,1,1
G36004700527006,360470527006,G36004700527006,360470527006,1,1,1,1,1,1,1,1
G36004700527007,360470527007,G36004700527007,360470527007,1,1,1,1,1,1,1,1
G36004700528001,360470528001,G36004700528001,360470528001,1,1,1,1,1,1,1,1
G36004700528002,360470528002,G36004700528002,360470528002,1,1,1,1,1,1,1,1
G36004700529001,360470529001,G36004700529001,360470529001,1,1,1,1,1,1,1,1
G36004700529002,360470529002,G36004700529002,360470529002,1,1,1,1,1,1,1,1
G36004700529003,360470529003,G36004700529003,360470529003,1,1,1,1,1,1,1,1
G36004700530001,360470530001,G36004700530001,360470530001,1,1,1,1,1,1,1,1
G36004700530002,360470530002,G36004700530002,360470530002,1,1,1,1,1,1,1,1
G36004700530003,360470530003,G36004700530003,360470530003,1,1,1,1,1,1,1,1
G36004700531001,360470531001,G36004700531021,360470531021,0.7227659184,0.7842073538,0.7456359102,0.751953125,0.7704347826,0.7959183673,0.7010309278,0.7845188285
G36004700531001,360470531001,G36004700531022,360470531022,0.2772340816,0.2157926462,0.2543640898,0.248046875,0.2295652174,0.2040816327,0.2989690722,0.2154811715
G36004700531002,360470531002,G36004700531011,360470531011,0.4291935089,0.380168607,0.4151291513,0.4224489796,0.4182509506,0.4938271605,0.1830985915,0.4549450549
G36004700531002,360470531002,G36004700531012,360470531012,0.2846122482,0.0545965476,0.0710332103,0.0673469388,0.066539924,0.0632716049,0.0845070423,0.0637362637
G36004700531002,360470531002,G36004700531022,360470531022,0.2861942428,0.5652348454,0.5138376384,0.5102040816,0.5152091255,0.4429012346,0.7323943662,0.4813186813
G36004700531003,360470531003,G36004700531012,360470531012,1,1,1,1,1,1,1,1
G36004700531004,360470531004,G36004700531012,360470531012,1,1,1,1,1,1,1,1
G36004700532001,360470532001,G36004700532001,360470532001,1,1,1,1,1,1,1,1
G36004700532002,360470532002,G36004700532002,360470532002,1,1,1,1,1,1,1,1
G36004700533001,360470533001,G36004700533001,360470533001,1,1,1,1,1,1,1,1
G36004700533002,360470533002,G36004700533002,360470533002,1,1,1,1,1,1,1,1
G36004700533003,360470533003,G36004700533003,360470533003,1,1,1,1,1,1,1,1
G36004700533004,360470533004,G36004700533004,360470533004,1,1,1,1,1,1,1,1
G36004700533005,360470533005,G36004700533005,360470533005,1,1,1,1,1,1,1,1
G36004700534001,360470534001,G36004700534001,360470534001,1,1,1,1,1,1,1,1
G36004700534002,360470534002,G36004700534002,360470534002,1,1,1,1,1,1,1,1
G36004700534003,360470534003,G36004700534003,360470534003,1,1,1,1,1,1,1,1
G36004700534004,360470534004,G36004700534004,360470534004,1,1,1,1,1,1,1,1
G36004700535001,360470535001,G36004700535001,360470535001,1,1,1,1,1,1,1,1
G36004700535002,360470535002,G36004700535002,360470535002,1,1,1,1,1,1,1,1
G36004700535003,360470535003,G36004700535003,360470535003,1,1,1,1,1,1,1,1
G36004700535004,360470535004,G36004700535004,360470535004,1,1,1,1,1,1,1,1
G36004700537001,360470537001,G36004700537001,360470537001,1,1,1,1,1,1,1,1
G36004700537002,360470537002,G36004700537002,360470537002,1,1,1,1,1,1,1,1
G36004700538001,360470538001,G36004700538001,360470538001,1,1,1,1,1,1,1,1
G36004700538002,360470538002,G36004700538002,360470538002,1,1,1,1,1,1,1,1
G36004700538003,360470538003,G36004700538003,360470538003,1,1,1,1,1,1,1,1
G36004700539001,360470539001,G36004700539001,360470539001,1,1,1,1,1,1,1,1
G36004700539002,360470539002,G36004700539002,360470539002,1,1,1,1,1,1,1,1
G36004700542001,360470542001,G36004700542001,360470542001,1,1,1,1,1,1,1,1
G36004700542002,360470542002,G36004700542002,360470542002,1,1,1,1,1,1,1,1
G36004700542003,360470542003,G36004700542003,360470542003,1,1,1,1,1,1,1,1
G36004700543001,360470543001,G36004700543001,360470543001,1,1,1,1,1,1,1,1
G36004700543002,360470543002,G36004700211003,360470211003,1,1,1,1,1,1,1,1
G36004700544001,360470544001,G36004700544001,360470544001,1,1,1,1,1,1,1,1
G36004700544002,360470544002,G36004700544002,360470544002,1,1,1,1,1,1,1,1
G36004700544003,360470544003,G36004700544003,360470544003,1,1,1,1,1,1,1,1
G36004700545001,360470545001,G36004700545001,360470545001,1,1,1,1,1,1,1,1
G36004700545002,360470545002,G36004700545002,360470545002,1,1,1,1,1,1,1,1
G36004700545003,360470545003,G36004700545003,360470545003,1,1,1,1,1,1,1,1
G36004700545004,360470545004,G36004700545004,360470545004,1,1,1,1,1,1,1,1
G36004700545005,360470545005,G36004700545005,360470545005,1,1,1,1,1,1,1,1
G36004700545006,360470545006,G36004700545006,360470545006,1,1,1,1,1,1,1,1
G36004700546001,360470546001,G36004700546001,360470546001,1,1,1,1,1,1,1,1
G36004700546002,360470546002,G36004700546002,360470546002,1,1,1,1,1,1,1,1
G36004700546003,360470546003,G36004700546003,360470546003,1,1,1,1,1,1,1,1
G36004700547001,360470547001,G36004700547001,360470547001,1,1,1,1,1,1,1,1
G36004700547002,360470547002,G36004700547002,360470547002,1,1,1,1,1,1,1,1
G36004700547003,360470547003,G36004700547003,360470547003,1,1,1,1,1,1,1,1
G36004700548001,360470548001,G36004700548001,360470548001,1,1,1,1,1,1,1,1
G36004700548002,360470548002,G36004700548002,360470548002,1,1,1,1,1,1,1,1
G36004700549001,360470549001,G36004700549001,360470549001,1,1,1,1,1,1,1,1
G36004700549002,360470549002,G36004700549002,360470549002,1,1,1,1,1,1,1,1
G36004700550001,360470550001,G36004700550001,360470550001,1,1,1,1,1,1,1,1
G36004700550002,360470550002,G36004700550002,360470550002,1,1,1,1,1,1,1,1
G36004700550003,360470550003,G36004700550003,360470550003,1,1,1,1,1,1,1,1
G36004700551001,360470551001,G36004700551001,360470551001,1,1,1,1,1,1,1,1
G36004700551002,360470551002,G36004700551002,360470551002,1,1,1,1,1,1,1,1
G36004700551003,360470551003,G36004700551003,360470551003,1,1,1,1,1,1,1,1
G36004700551004,360470551004,G36004700551004,360470551004,1,1,1,1,1,1,1,1
G36004700552001,360470552001,G36004700552001,360470552001,1,1,1,1,1,1,1,1
G36004700552002,360470552002,G36004700552002,360470552002,1,1,1,1,1,1,1,1
